;SVC signal;return;;return of buy only (SVC);return of buy and hold;;return of buy/sell;;;;AdaBoost signal;;return of buy only (adaboost);;return of buy/sell;;;%;
03/03/2020;1;-0,018568353;-0,018568353;0,922679188;1,06315326;-0,018568353;0,785610945;;;;1;-0,018568353;1,128426727;-0,018568353;1,168160562;;20200508;0;0
04/03/2020;1;0,000239819;0,000239819;0,922900464;1,063408225;0,000239819;0,78579935;;;;1;0,000239819;1,128697345;0,000239819;1,168440709;;20200511;0;0
05/03/2020;1;0,03512057;0,03512057;0,955313254;1,100755728;0,03512057;0,813397071;;;;1;0,03512057;1,168337839;0,03512057;1,209477013;;20200512;0;0
06/03/2020;1;0,009828145;0,009828145;0,964702212;1,111574115;0,009828145;0,821391255;;;;1;0,009828145;1,179820433;0,009828145;1,221363929;;20200513;0;0
07/03/2020;1;-0,02788701;-0,02788701;0,937799552;1,080575637;-0,02788701;0,798485109;;;;1;-0,02788701;1,146918769;-0,02788701;1,187303741;;20200514;0;0
08/03/2020;1;-0,096219815;-0,096219815;0,847564652;0,976602848;-0,096219815;0,721655019;;;;1;-0,096219815;1,036562457;-0,096219815;1,073061594;;20200515;0;0
09/03/2020;1;-0,013930695;-0,013930695;0,835757487;0,962998092;-0,013930695;0,711601864;;;;1;-0,013930695;1,022122421;-0,013930695;1,0581131;;20200518;0;0
10/03/2020;1;-0,005322168;-0,005322168;0,831309446;0,957872855;-0,005322168;0,707814599;;;;1;-0,005322168;1,016682514;-0,005322168;1,052481645;;20200519;0;0
11/03/2020;1;0,006806429;0,006806429;0,836967694;0,964392548;0,006806429;0,712632289;;;;1;0,006806429;1,023602491;0,006806429;1,059645286;;20200520;0;0
12/03/2020;1;-0,39080301;-0,39080301;0,509878201;0,587505038;-0,39080301;0,434133446;;;;1;-0,39080301;0,623575557;-0,39080301;0,645532719;;20200521;0;0
13/03/2020;1;0,160865979;0,160865979;0,591900257;0,682014611;0,160865979;0,503970748;;;;1;0,160865979;0,72388765;0,160865979;0,749376973;;20200522;0;0
14/03/2020;1;-0,083123157;-0,083123157;0,542699639;0,625323403;-0,083123157;0,462079108;;;;1;-0,083123157;0,663715823;-0,083123157;0,687086393;;20200526;0;0
